Laptop Name,Price,Rating,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 Chromebook  (14 Inch, Transparent Silver, 1.47 Kg)","₹13,990",3.8,"Laptop, Charger, Product manual",CX1400CKA-NK0453,90NX03I2-M00FX0,CX1400CKA-NK0453,Chromebook,Transparent Silver,Chromebook,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,Intel,Intel,Celeron Dual Core,No,4 GB,LPDDR4X,64 GB,N4500,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,Intel Integrated UHD,eMMC,Chrome,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C support display / power delivery",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, LED Backlit",Wi-Fi 6 (802.11ax),v5.2,326.5 x 228.7 x 18.7 mm,1.47 Kg,Not Available,720p HD camera,No,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromebook  (14 Inch, Mineral Silver, 1.49 Kg)","₹26,990",3.9,"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0506TU,678M8PA#ACJ,14a-ca0506TU,Chromebook,Mineral Silver,Chromebook,Processing & Multitasking,2,AMD,No,Intel,Celeron Dual Core,No,4 GB,LPDDR4,64 GB,N4120,2.8,2400 MHz,4,Intel Integrated UHD Graphics,2,eMMC,64 bit,Chrome,Chrome 64,64,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate (USB Power Delivery, DisplayPort 1.2), 1 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, jet black keyboard",HP Imagepad with multi-touch gesture support,47 Wh Li-ion polymer battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,
"HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Light Laptop  (15.6 inch, Silver, 1.35 kg)","₹25,599",4.1,"Laptop, Adapter",250 G10,B1FW9PT#ACJ,255 G10,255 G10 (2024),Silver,Thin and Light Laptop,"Entertainment, Everyday Use, Learning, Travel & Business, Processing & Multitasking",6 Hours,Intel,"HP Long Life 3-cell, 41 Wh Li-ion",No,No,No,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,7320U,AMD,Upto 4.1Ghz,4 MB L3,AMD Radeon AMD RADEON,4,SSD,64 bit,Windows 11 Home,Windows 11,Yes,Yes,Yes,Yes,No,39.62 cm (15.6 inch),1366 x 768 pixel,HD,Inbuilt,Inbuilt,Yes,Yes,Yes,No,Yes,15.6,1.35 kg,Not Available,Yes,No,No,Island Keyboard,No,Windows 11,No,1 Year Onsite Warranty,1 year onsite,Manufacturing Defects,Damages,12 Months,,,,,,,
"SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-LG4IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","₹36,990",4.5,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-LG4IN,NP750XGJ-LG4IN,NP750XGJ-LG4IN,Galaxy Book4 Metal,Gray,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Intel,Core i3,13th Gen,Yes,512 GB,8 GB,LPDDR4X,1315U,Up to 4.5 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,Wi-Fi 6,v5.2,356.6 x 229.15 x 15.4 mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",Yes,QWERTY,1 Year Onsite Warranty,Onsite,Manufacturer Defect Only,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH8 Thin and Light Laptop  (14 inch, Storm Grey, 1.35 Kg, With MS Office)","₹67,990",4.4,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IRH8,83E00004IN,83E00006IN,14IRH8,Yoga Slim 6 WUXGA OLED,Storm Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Intel,Yes,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,LPDDR5X,13500H,Max Turbo Frequency up to 4.7 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1 (Always On), 2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",No,35.56 cm (14 inch),1920 x 1200 Pixel,"WUXGA, OLED 400nits Glossy, 100% DCI-P3, 60Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 500",Yes,Yes,"Wi-Fi 6E, 11ax 2x2",v5.1,312 x 221 x 14.9 mm,1.35 Kg,Not Available,"Full HD 1080p + IR with Privacy Shutter, ToF Sensor",No,"Backlit, English",Yes,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)","₹29,990",4.2,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-53,UN.34RSI.002,A324-53,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,No,Intel,Intel,Core i3,13th Gen,Yes,512 GB,8 GB,DDR4,1305U,Max Frequency up to 4.50 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,Video conferencing: 2M With Privacy Camera Shutter,84-key Acer keyboard layout with US language: Additional feature.,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34YL Chromebook  (15.6 Inch, Silver, 1.68 Kg)","₹21,990",3.8,"Laptop, Power Adaptor, User Guide, Warranty Documents",CB515-2H-34YL,NX.KNUSI.002,Chromebook Plus,Chromebook Plus Google AI,Silver,Chromebook,Processing & Multitasking,65 W,Intel,3 Cell,No,Intel,Core i3,13th Gen,Yes,256 GB,8 GB,LPDDR5X,1315U,Max Frequency 4.5 GHz,Intel Integrated UHD,SSD,Chrome,"1 x USB 3.2 Gen 1 Type-A port, 2 x USB 3.2 Gen 1 Type-C port",NA,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD IPS LED-backlit LCD Dislpay,Yes,Yes,Intel Wireless Wi-Fi 6E AX211,v5.2,360.6 x 238.4 x 199.5 mm,1.68 Kg,Not Available,"FHD camera, 1920 x 1080 Resolution, 1080p video at 60 fps with Temporal Noise Reduction, Support ROI feature, Support HDR feature, Dual Mic",Acer FineTip keyboard with international language support,No,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical damage,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook  (14 Inch, Forest Teal, 1.49 Kg)","₹19,990",4.1,"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0504TU,678M6PA#ACJ,14a-ca0504TU,Chromebook,Forest Teal,Chromebook,Processing & Multitasking,2,Intel,No,Intel,Celeron Quad Core,No,4 GB,LPDDR4,64 GB,N4120,2.8,2400 MHz,4,Intel Integrated UHD Graphics,2,eMMC,64 bit,Chrome,Chrome 64,64,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate,(USB Power Delivery, DisplayPort 1.2) 1 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, jet black keyboard",HP Imagepad with multi-touch gesture support,47 Wh Li-ion polymer battery,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.70 Kg, With MS Office)","₹32,990",4.3,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ322WS,90NB1022-M00AF0,X1504ZA-NJ322WS,Vivobook 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,Base frequency 0.9 GHz upto Max Turbo Frequency 4.4 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in speaker,Built-in array microphone,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.3,359.7 x 232.5 x 17.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,No,Backlit Chiclet Keyboard,1 Year Onsite Warranty,please call the ASUS Customer Support - 1800-2090365 rc_india@asus.com,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG1IN / NP750XGJ-LG1IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","₹52,990",4.5,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-KG1IN / NP750XGJ-LG1IN,NP750XGJ-KG1IN,NP750XGJ-LG1IN,NP750XGJ-KG1IN / NP750XGJ-LG1IN,Galaxy Book4,Gray,Thin and Light Laptop,Processing & Multitasking,AMD,45W AC Adapter,4 Cell Lithium Ion Battery,Yes,Intel,Core i5,13th Gen,Yes,512 GB,8 GB,LPDDR4X,1335U,Max Frequency Up to 4.60 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,Yes,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A","Yes, 1 x HDMI",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,802.11ax,v5.2,356.6 x 15.4 x 229.15mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",Yes,QWERTY,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Onsite,Manufacturer Defect Only,Physical Damage,,,,,,,,,,,,,,,,,,,,,
